UserID,Items
1,i1
1,i2
1,i3
1,i4
1,i5
1,i6
1,i7
1,i8
1,i9
1,i10
1,i11
1,i12
1,i13
1,i14
1,i15
1,i16
1,i17
1,i18
1,i19
1,i20
1,i21
1,i22
1,i23
1,i24
1,i25
1,i26
1,i27
1,i28
1,i29
1,i30
1,i31
1,i32
1,i33
1,i34
1,i35
1,i36
1,i37
1,i38
1,i39
1,i40
1,i41
1,i42
1,i43
1,i44
1,i45
1,i46
1,i47
1,i48
1,i49
1,i50
1,i51
1,i52
1,i53
1,i54
1,i55
1,i56
1,i57
1,i58
1,i59
1,i60
1,i61
1,i62
1,i63
1,i64
1,i65
1,i66
1,i67
1,i68
1,i69
1,i70
1,i71
1,i72
1,i73
1,i74
1,i75
1,i76
1,i77
1,i78
1,i79
1,i80
1,i81
1,i82
1,i83
1,i84
1,i85
1,i86
1,i87
1,i88
1,i89
1,i90
1,i91
1,i92
1,i93
1,i94
1,i95
1,i96
1,i97
1,i98
1,i99
1,i100
1,i101
1,i102
1,i103
1,i104
1,i105
1,i106
1,i107
1,i108
1,i109
1,i110
1,i111
1,i112
1,i113
1,i114
1,i115
1,i116
1,i117
1,i118
1,i119
1,i120
1,i121
1,i122
1,i123
1,i124
1,i125
1,i126
1,i127
1,i128
1,i129
1,i130
1,i131
1,i132
1,i133
1,i134
1,i135
1,i136
1,i137
1,i138
1,i139
1,i140
1,i141
1,i142
2,i143
2,i144
2,i145
2,i146
2,i147
2,i148
2,i149
2,i150
2,i151
2,i152
2,i153
2,i154
2,i155
2,i156
2,i157
2,i158
2,i159
2,i160
2,i161
2,i162
2,i163
2,i164
2,i165
2,i166
2,i167
2,i168
2,i169
2,i170
2,i171
2,i172
2,i173
2,i174
2,i175
2,i176
2,i177
2,i178
2,i179
3,i180
3,i181
3,i182
3,i183
3,i184
3,i185
3,i186
3,i187
3,i188
3,i189
3,i190
3,i191
3,i192
3,i193
3,i194
3,i195
3,i196
3,i197
3,i198
3,i199
3,i200
3,i201
3,i202
3,i203
3,i204
3,i205
3,i206
4,i207
4,i208
4,i209
4,i210
4,i211
4,i212
4,i180
4,i213
4,i214
4,i215
4,i216
4,i217
4,i218
4,i219
4,i27
4,i74
4,i220
4,i221
4,i222
4,i223
4,i224
4,i225
4,i226
4,i227
4,i228
4,i229
4,i230
4,i231
4,i232
4,i233
4,i234
4,i235
4,i236
4,i237
4,i139
4,i238
4,i239
4,i240
4,i241
4,i242
4,i243
4,i244
4,i245
4,i246
4,i247
4,i248
4,i249
4,i250
4,i251
4,i252
4,i253
4,i254
4,i255
4,i256
4,i257
4,i258
4,i81
4,i259
4,i260
4,i261
4,i262
4,i263
4,i264
4,i265
4,i266
4,i267
4,i268
4,i269
4,i270
4,i271
4,i272
4,i273
4,i274
4,i275
4,i276
4,i277
4,i278
4,i279
4,i280
4,i281
4,i282
4,i283
4,i284
4,i285
4,i286
4,i287
4,i288
4,i289
4,i290
4,i291
